"algoritmo","TN","FN","FP","TP"
"cart",61,7,16,16
"lda",55,7,20,18
"svm",55,7,13,25
"knn",58,4,19,19
"cart",59,7,16,18
"lda",54,9,15,22
"svm",56,5,21,18
"knn",54,6,17,23
"cart",58,12,12,18
"lda",53,7,12,28
"svm",67,4,12,17
"knn",57,8,20,15
"cart",57,7,12,24
"lda",55,6,17,22
"svm",56,3,17,24
"knn",48,9,22,21
"cart",54,8,20,18
"lda",64,9,13,14
"svm",58,7,12,23
"knn",62,7,11,20
"cart",63,8,9,20
"lda",50,7,19,24
"svm",64,4,17,15
"knn",60,4,11,25
"cart",61,6,19,14
"lda",59,11,12,18
"svm",57,3,17,23
"knn",55,5,15,25
"cart",57,7,19,17
"lda",57,6,22,15
"svm",64,4,16,16
"knn",55,6,15,24
"cart",67,5,13,15
"lda",59,8,13,20
"svm",57,3,15,25
"knn",50,12,16,22
"cart",59,4,12,25
"lda",59,12,15,14
"svm",55,2,12,31
"knn",52,9,18,21
"cart",63,3,13,21
"lda",61,5,13,21
"svm",62,3,13,22
"knn",59,10,11,20
